,brain_region_1,value,SPI,brain_region_2
227,proc-63,0.13606512842566712,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
228,proc-64,0.08713325024713023,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
229,proc-65,0.12592840933556015,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
230,proc-66,0.12775166128103274,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
231,proc-67,0.1435527945257318,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
232,proc-68,0.13032948079279177,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
233,proc-69,0.10517827562469846,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
234,proc-70,0.13355682107334715,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
235,proc-71,0.11066953038450274,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
236,proc-72,0.1153529734822198,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
237,proc-73,0.10090450507703856,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
238,proc-74,0.0962180559393024,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
239,proc-75,0.15292875459546845,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
240,proc-76,0.12257202048286456,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
241,proc-77,0.08943125611588403,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
242,proc-78,0.12289448302587609,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
243,proc-79,0.09899003317543467,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
244,proc-80,0.12187588825155075,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
245,proc-81,0.1171813523298012,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
246,proc-0,0.23560645183672357,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-3
247,proc-1,0.13693870546760628,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-3
248,proc-2,0.10914957785692465,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-3
249,proc-3,,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-3
250,proc-4,0.14351550118882378,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-3
251,proc-5,0.16279603307969676,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-3
252,proc-6,0.14778142009331002,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-3
